order_id,order_date,region,category,product,quantity,price,discount,sales,profit
1,2023-04-17,East,Clothing,Shirt,6,1000,20,4800.0,1278.0
2,2023-03-29,East,Clothing,Jacket,5,3000,15,12750.0,4553.53
3,2023-12-10,North,Clothing,Jeans,4,2000,5,7600.0,2625.44
4,2023-11-10,West,Electronics,Laptop,5,50000,15,212500.0,83529.77
5,2024-11-12,East,Clothing,Jacket,4,3000,15,10200.0,2958.93
6,2024-07-16,East,Furniture,Table,4,7000,15,23800.0,5290.16
7,2024-10-08,East,Clothing,Shirt,5,1000,0,5000.0,1902.42
8,2023-12-12,South,Electronics,Phone,5,20000,5,95000.0,18499.36
9,2024-05-23,West,Clothing,Jacket,3,3000,0,9000.0,2901.29
10,2024-07-19,South,Furniture,Table,2,7000,15,11900.0,4100.07
11,2024-07-09,South,Clothing,Jeans,2,2000,5,3800.0,499.9
12,2023-09-28,West,Furniture,Sofa,4,20000,0,80000.0,8931.87
13,2023-02-22,South,Electronics,Laptop,2,50000,0,100000.0,31571.96
14,2023-01-15,North,Electronics,Laptop,5,50000,0,250000.0,98827.27
15,2024-10-09,West,Electronics,Laptop,3,50000,10,135000.0,25372.28
16,2024-01-14,North,Clothing,Jacket,5,3000,5,14250.0,4167.56
17,2023-02-02,North,Electronics,Tablet,5,15000,10,67500.0,15026.22
18,2024-09-04,East,Furniture,Sofa,3,20000,0,60000.0,11008.87
19,2024-01-28,South,Clothing,Jacket,2,3000,5,5700.0,1528.73
20,2023-08-29,West,Clothing,Jacket,6,3000,20,14400.0,2755.37
21,2024-10-16,East,Electronics,Tablet,5,15000,20,60000.0,7028.64
22,2023-03-27,East,Clothing,Jacket,4,3000,5,11400.0,2424.71
23,2024-10-07,North,Furniture,Chair,4,3000,15,10200.0,3411.57
24,2024-10-01,East,Furniture,Table,2,7000,15,11900.0,3488.02
25,2024-01-12,North,Furniture,Chair,3,3000,0,9000.0,1391.36
26,2024-12-10,East,Electronics,Tablet,3,15000,0,45000.0,11454.8
27,2024-11-14,South,Electronics,Tablet,3,15000,0,45000.0,12548.21
28,2024-07-17,South,Furniture,Chair,4,3000,5,11400.0,2124.03
29,2023-03-22,West,Electronics,Laptop,3,50000,0,150000.0,16052.33
30,2023-08-13,North,Furniture,Sofa,1,20000,10,18000.0,3524.19
31,2024-12-10,West,Electronics,Phone,4,20000,10,72000.0,20815.46
32,2023-10-07,South,Electronics,Tablet,5,15000,15,63750.0,6692.03
33,2023-05-24,East,Furniture,Sofa,1,20000,0,20000.0,6075.32
34,2024-10-21,East,Furniture,Chair,4,3000,10,10800.0,3606.42
35,2023-05-27,East,Furniture,Sofa,4,20000,15,68000.0,8013.33
36,2024-10-02,West,Clothing,Jeans,3,2000,15,5100.0,915.12
37,2023-10-25,East,Furniture,Sofa,3,20000,15,51000.0,17723.19
38,2023-10-31,South,Electronics,Laptop,5,50000,20,200000.0,27041.82
39,2023-04-09,North,Clothing,Shirt,3,1000,10,2700.0,386.38
40,2024-09-19,West,Furniture,Chair,3,3000,0,9000.0,3163.6
41,2023-04-22,East,Furniture,Table,1,7000,10,6300.0,679.78
42,2024-12-06,South,Furniture,Table,4,7000,20,22400.0,7777.78
43,2024-05-18,North,Electronics,Phone,3,20000,0,60000.0,18454.91
44,2024-01-10,South,Clothing,Jacket,5,3000,10,13500.0,1787.21
45,2023-10-04,South,Clothing,Jacket,1,3000,15,2550.0,508.27
46,2024-10-20,West,Electronics,Laptop,4,50000,10,180000.0,30498.08
47,2023-02-15,North,Electronics,Phone,5,20000,10,90000.0,15811.59
48,2023-10-29,North,Electronics,Laptop,5,50000,10,225000.0,23827.62
49,2023-06-10,North,Clothing,Shirt,3,1000,5,2850.0,663.93
50,2023-11-19,South,Clothing,Jeans,2,2000,5,3800.0,1230.25
51,2023-04-14,South,Furniture,Table,1,7000,0,7000.0,1324.78
52,2024-06-21,South,Clothing,Shirt,3,1000,5,2850.0,398.65
53,2023-02-05,East,Electronics,Phone,5,20000,15,85000.0,17425.92
54,2024-04-15,West,Furniture,Table,4,7000,5,26600.0,9890.02
55,2023-02-20,South,Clothing,Jacket,1,3000,5,2850.0,676.04
56,2024-07-23,South,Electronics,Phone,1,20000,15,17000.0,6601.94
57,2024-03-19,East,Clothing,Jeans,5,2000,0,10000.0,1516.39
58,2023-12-16,West,Electronics,Tablet,3,15000,15,38250.0,13776.75
59,2024-10-20,South,Furniture,Table,1,7000,10,6300.0,1690.34
60,2024-04-18,North,Clothing,Jeans,5,2000,0,10000.0,1934.5
61,2024-05-27,South,Electronics,Phone,2,20000,0,40000.0,8077.63
62,2023-07-08,West,Electronics,Laptop,6,50000,20,240000.0,92564.44
63,2023-03-27,North,Furniture,Sofa,3,20000,20,48000.0,17878.09
64,2024-03-28,South,Clothing,Shirt,4,1000,5,3800.0,649.76
65,2023-10-16,West,Electronics,Tablet,5,15000,5,71250.0,15336.2
66,2023-08-11,West,Electronics,Phone,2,20000,5,38000.0,4558.83
67,2024-05-30,North,Electronics,Laptop,2,50000,0,100000.0,13984.03
68,2024-01-15,East,Clothing,Jeans,1,2000,0,2000.0,313.28
69,2024-07-30,West,Clothing,Shirt,1,1000,5,950.0,321.09
